,filename,width,height,class,xmin,ymin,xmax,ymax,x_min_resized,y_min_resized,x_max_resized,y_max_resized,class_num
0,627194074.jpg,1080,1080,9s,82,724,147,752,34,308,62,320,44
1,627194074.jpg,1080,1080,Qc,85,584,153,640,36,248,65,272,28
2,627194074.jpg,1080,1080,2h,164,470,213,524,69,200,90,223,12
3,627194074.jpg,1080,1080,6s,276,380,315,443,117,161,134,188,47
4,627194074.jpg,1080,1080,Qd,395,342,433,409,168,145,184,174,15
5,627194074.jpg,1080,1080,5s,480,348,522,413,204,148,222,175,48
6,627194074.jpg,1080,1080,5s,532,652,576,719,226,277,245,306,48
7,968510760.jpg,1080,1080,Ac,82,723,147,752,34,307,62,320,26
8,968510760.jpg,1080,1080,5s,88,588,152,631,37,250,64,268,48
9,968510760.jpg,1080,1080,Kd,157,462,217,532,66,196,92,226,14
10,968510760.jpg,1080,1080,4h,279,380,313,444,118,161,133,189,10
11,968510760.jpg,1080,1080,8s,398,345,427,409,169,146,181,174,45
12,968510760.jpg,1080,1080,4h,479,354,519,414,204,150,221,176,10
13,968510760.jpg,1080,1080,8d,598,398,648,451,254,169,276,192,19
14,968510760.jpg,1080,1080,8d,549,706,600,762,233,300,255,324,19
15,184644903.jpg,1080,1080,7h,84,723,147,750,35,307,62,319,7
16,184644903.jpg,1080,1080,Qc,86,584,155,639,36,248,66,272,28
17,184644903.jpg,1080,1080,2s,161,465,215,522,68,198,91,222,51
18,184644903.jpg,1080,1080,9c,274,380,315,443,116,161,134,188,31
19,184644903.jpg,1080,1080,Ac,397,341,426,406,169,145,181,172,26
20,184644903.jpg,1080,1080,10c,477,346,522,413,203,147,222,175,30
21,184644903.jpg,1080,1080,7h,598,397,650,453,254,169,276,192,7
22,184644903.jpg,1080,1080,9d,656,488,717,533,279,207,305,227,18
23,184644903.jpg,1080,1080,9d,503,760,563,804,214,323,239,342,18
24,520044414.jpg,1080,1080,9s,83,724,147,752,35,308,62,320,44
25,520044414.jpg,1080,1080,As,90,594,153,633,38,253,65,269,39
26,520044414.jpg,1080,1080,3d,163,466,215,522,69,198,91,222,24
27,520044414.jpg,1080,1080,10s,269,379,315,445,114,161,134,189,43
28,520044414.jpg,1080,1080,Qs,397,342,433,411,169,145,184,175,41
29,520044414.jpg,1080,1080,7d,478,346,522,412,203,147,222,175,20
30,520044414.jpg,1080,1080,Js,585,394,653,459,249,167,278,195,42
31,520044414.jpg,1080,1080,Js,537,703,608,768,228,299,258,327,42
32,957207260.jpg,1080,1080,Qd,84,720,152,755,35,306,64,321,15
33,957207260.jpg,1080,1080,5h,88,589,150,630,37,250,63,268,9
34,957207260.jpg,1080,1080,Ah,164,471,212,522,69,200,90,222,0
35,957207260.jpg,1080,1080,10h,271,382,315,446,115,162,134,189,4
36,957207260.jpg,1080,1080,2d,400,342,430,407,170,145,183,173,25
37,957207260.jpg,1080,1080,10c,477,347,522,413,203,147,222,175,30
38,957207260.jpg,1080,1080,10c,530,655,575,723,225,278,244,307,30
39,855862246.jpg,1080,1080,Ks,81,720,152,754,34,306,64,321,40
40,855862246.jpg,1080,1080,9h,92,590,151,630,39,251,64,268,5
41,855862246.jpg,1080,1080,10h,158,467,214,523,67,198,91,222,4
42,855862246.jpg,1080,1080,10c,270,382,316,447,115,162,134,190,30
43,855862246.jpg,1080,1080,Ad,399,341,426,406,169,145,181,172,13
44,855862246.jpg,1080,1080,9s,474,348,519,412,201,148,221,175,44
45,855862246.jpg,1080,1080,9c,595,397,648,453,253,169,276,192,31
46,855862246.jpg,1080,1080,9c,660,486,721,533,281,207,307,227,31
47,855862246.jpg,1080,1080,9c,507,755,568,801,215,321,241,341,31
48,607946433.jpg,1080,1080,8d,81,721,144,750,34,307,61,319,19
49,607946433.jpg,1080,1080,8d,89,588,151,630,37,250,64,268,19
50,607946433.jpg,1080,1080,Qc,157,460,217,531,66,195,92,226,28
51,607946433.jpg,1080,1080,6s,277,380,315,444,117,161,134,189,47
52,607946433.jpg,1080,1080,6s,399,342,429,407,169,145,182,173,47
53,607946433.jpg,1080,1080,Qd,470,348,525,415,200,148,223,176,15
54,607946433.jpg,1080,1080,9s,595,397,647,454,253,169,275,193,44
55,607946433.jpg,1080,1080,Kd,651,482,723,536,277,205,307,228,14
56,607946433.jpg,1080,1080,Kd,496,755,573,809,211,321,244,344,14
57,714671603.jpg,1080,1080,3d,86,723,148,752,36,307,63,320,24
58,714671603.jpg,1080,1080,6c,90,590,152,634,38,251,64,270,34
59,714671603.jpg,1080,1080,3h,160,467,212,521,68,198,90,221,11
60,714671603.jpg,1080,1080,2h,276,384,314,445,117,163,133,189,12
61,714671603.jpg,1080,1080,Ks,395,340,433,409,168,144,184,174,40
62,714671603.jpg,1080,1080,8s,476,352,517,415,202,149,220,176,45
63,714671603.jpg,1080,1080,7d,595,395,653,454,253,168,278,193,20
64,714671603.jpg,1080,1080,7s,660,485,724,532,281,206,308,226,46
65,714671603.jpg,1080,1080,7s,503,758,568,806,214,322,241,343,46
66,918473998.jpg,1080,1080,10s,82,722,148,755,34,307,63,321,43
67,918473998.jpg,1080,1080,5c,88,588,152,633,37,250,64,269,35
68,918473998.jpg,1080,1080,Jd,155,460,215,532,66,195,91,226,16
69,918473998.jpg,1080,1080,Jc,272,376,319,450,115,160,135,191,29
70,918473998.jpg,1080,1080,4s,400,345,428,409,170,146,182,174,49
71,918473998.jpg,1080,1080,7d,479,347,522,411,204,147,222,175,20
72,918473998.jpg,1080,1080,7d,532,654,576,719,226,278,245,306,20
73,914179848.jpg,1080,1080,7d,81,724,145,750,34,308,61,319,20
74,914179848.jpg,1080,1080,6h,93,589,155,629,39,250,66,267,8
75,914179848.jpg,1080,1080,3h,163,466,214,522,69,198,91,222,11
76,914179848.jpg,1080,1080,6h,277,382,315,444,117,162,134,189,8
77,914179848.jpg,1080,1080,Qs,396,343,433,411,168,146,184,175,41
78,914179848.jpg,1080,1080,9d,476,351,519,414,202,149,221,176,18
79,914179848.jpg,1080,1080,8h,593,399,645,452,252,169,274,192,6
80,914179848.jpg,1080,1080,8h,545,711,595,764,232,302,253,325,6
81,337835885.jpg,1080,1080,5h,82,724,145,751,34,308,61,319,9
82,337835885.jpg,1080,1080,8c,90,591,153,634,38,251,65,270,32
83,337835885.jpg,1080,1080,10h,158,467,215,523,67,198,91,222,4
84,337835885.jpg,1080,1080,4c,280,382,317,446,119,162,135,189,36
85,337835885.jpg,1080,1080,7s,400,340,429,407,170,144,182,173,46
86,337835885.jpg,1080,1080,Jh,470,348,525,415,200,148,223,176,3
87,337835885.jpg,1080,1080,Jh,522,653,583,724,222,278,248,308,3
88,219084930.jpg,1080,1080,10c,83,721,147,753,35,307,62,320,30
89,219084930.jpg,1080,1080,Ks,85,583,154,640,36,248,65,272,40
90,219084930.jpg,1080,1080,4c,170,467,219,526,72,198,93,224,36
91,219084930.jpg,1080,1080,10d,271,381,315,446,115,162,134,189,17
92,219084930.jpg,1080,1080,7c,399,343,430,407,169,146,183,173,33
93,219084930.jpg,1080,1080,6d,477,353,520,415,203,150,221,176,21
94,219084930.jpg,1080,1080,6d,530,657,573,720,225,279,244,306,21
95,874056284.jpg,1080,1080,6s,83,724,148,751,35,308,63,319,47
96,874056284.jpg,1080,1080,10c,88,586,153,632,37,249,65,269,30
97,874056284.jpg,1080,1080,10h,158,467,215,523,67,198,91,222,4
98,874056284.jpg,1080,1080,8c,274,379,315,443,116,161,134,188,32
99,874056284.jpg,1080,1080,Jd,395,339,433,409,168,144,184,174,16
100,874056284.jpg,1080,1080,7c,475,350,520,415,202,149,221,176,33
101,874056284.jpg,1080,1080,7c,530,656,575,721,225,279,244,307,33
102,574973275.jpg,1080,1080,9c,82,723,147,752,34,307,62,320,31
103,574973275.jpg,1080,1080,10c,87,586,153,633,37,249,65,269,30
104,574973275.jpg,1080,1080,2d,163,466,213,520,69,198,90,221,25
105,574973275.jpg,1080,1080,Ks,271,376,318,450,115,160,135,191,40
106,574973275.jpg,1080,1080,3c,397,345,429,410,169,146,182,174,37
107,574973275.jpg,1080,1080,Kc,470,345,526,419,200,146,224,178,27
108,574973275.jpg,1080,1080,7d,597,394,651,453,254,167,277,192,20
109,574973275.jpg,1080,1080,7d,545,707,599,763,232,301,255,324,20
110,726626169.jpg,1080,1080,2c,86,722,151,750,36,307,64,319,38
111,726626169.jpg,1080,1080,Jh,89,585,155,639,37,249,66,272,3
112,726626169.jpg,1080,1080,3d,161,467,214,522,68,198,91,222,24
113,726626169.jpg,1080,1080,8c,275,380,315,442,117,161,134,188,32
114,726626169.jpg,1080,1080,3c,397,345,428,410,169,146,182,174,37
115,726626169.jpg,1080,1080,Qd,470,348,525,415,200,148,223,176,15
116,726626169.jpg,1080,1080,Qd,522,654,578,723,222,278,246,307,15
117,548094115.jpg,1080,1080,2d,83,722,147,750,35,307,62,319,25
118,548094115.jpg,1080,1080,10d,88,588,154,632,37,250,65,269,17
119,548094115.jpg,1080,1080,10c,158,464,216,521,67,197,92,221,30
120,548094115.jpg,1080,1080,7h,277,379,316,441,117,161,134,187,7
121,548094115.jpg,1080,1080,4d,398,343,428,407,169,146,182,173,23
122,548094115.jpg,1080,1080,10d,477,348,521,415,203,148,221,176,17
123,548094115.jpg,1080,1080,10d,529,659,574,726,225,280,244,309,17
124,424484967.jpg,1080,1080,9h,86,724,149,752,36,308,63,320,5
125,424484967.jpg,1080,1080,2s,90,589,155,632,38,250,66,269,51
126,424484967.jpg,1080,1080,7c,160,465,215,523,68,198,91,222,33
127,424484967.jpg,1080,1080,Ac,278,381,316,443,118,162,134,188,26
128,424484967.jpg,1080,1080,10h,397,344,432,410,169,146,184,174,4
129,424484967.jpg,1080,1080,3h,479,350,520,413,204,149,221,175,11
130,424484967.jpg,1080,1080,9s,596,397,647,454,253,169,275,193,44
131,424484967.jpg,1080,1080,Qh,651,483,723,534,277,205,307,227,2
132,424484967.jpg,1080,1080,Qh,496,758,573,810,211,322,244,345,2
133,253723976.jpg,1080,1080,Kc,82,720,152,755,34,306,64,321,27
134,253723976.jpg,1080,1080,10d,86,588,152,634,36,250,64,270,17
135,253723976.jpg,1080,1080,4c,170,467,221,525,72,198,94,223,36
136,253723976.jpg,1080,1080,10c,272,378,317,442,115,161,135,188,30
137,253723976.jpg,1080,1080,Jh,394,343,433,409,167,146,184,174,3
138,253723976.jpg,1080,1080,Kh,470,345,526,411,200,146,224,175,1
139,253723976.jpg,1080,1080,8s,590,401,644,455,251,170,274,193,45
140,253723976.jpg,1080,1080,Kd,651,482,723,535,277,205,307,227,14
141,253723976.jpg,1080,1080,Kd,496,756,573,809,211,322,244,344,14
142,542441196.jpg,1080,1080,3c,86,721,151,751,36,307,64,319,37
143,542441196.jpg,1080,1080,7h,90,585,152,627,38,249,64,267,7
144,542441196.jpg,1080,1080,Ad,164,466,213,519,69,198,90,221,13
145,542441196.jpg,1080,1080,10s,270,377,315,443,115,160,134,188,43
146,542441196.jpg,1080,1080,3c,397,344,428,410,169,146,182,174,37
147,542441196.jpg,1080,1080,3d,478,351,519,413,203,149,221,175,24
148,542441196.jpg,1080,1080,Js,586,394,654,458,249,167,278,195,42
149,542441196.jpg,1080,1080,Js,537,703,608,768,228,299,258,327,42
150,222802782.jpg,1080,1080,3h,86,724,149,751,36,308,63,319,11
